"","year","CO2","CH4","NO2","SGG","site_number","latitude","longitude","location_name","country","state","count_max","max","count_min","min","mean"
"32",1910,298.38639,0.92361,0.28083,3.7e-05,"060139",-31.43,152.87,"PORT","Australia","New South Wales",364,22.6686813186813,364,10.5142857142857,16.5914835164835
"33",1910,298.38639,0.92361,0.28083,3.7e-05,"031011",-16.87,145.75,"CAIRNS","Australia","Queensland",364,28.8098901098901,365,19.6230136986301,24.2164519042601
"34",1910,298.38639,0.92361,0.28083,3.7e-05,"009518",-34.37,115.14,"CAPE","Australia","Western Australia",364,19.5104395604396,365,13.7287671232877,16.6196033418636
"35",1910,298.38639,0.92361,0.28083,3.7e-05,"091293",-41.05,146.79,"LOW","Australia","Tasmania",364,16.0931318681319,362,9.87209944751381,12.9826156578228
"36",1910,298.38639,0.92361,0.28083,3.7e-05,"017126",-29.66,138.07,"MARREE","Australia","South Australia",365,26.5142465753425,365,13.0443835616438,19.7793150684932
"37",1910,298.38639,0.92361,0.28083,3.7e-05,"084016",-37.57,149.92,"GABO","Australia","Victoria",363,18.503305785124,363,11.7829201101928,15.1431129476584
"38",1910,298.38639,0.92361,0.28083,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",360,20.0463888888889,357,10.4361344537815,15.2412616713352
"39",1910,298.38639,0.92361,0.28083,3.7e-05,"009789",-33.83,121.89,"ESPERANCE","Australia","Western Australia",362,21.2058011049724,362,10.9038674033149,16.0548342541436
"40",1910,298.38639,0.92361,0.28083,3.7e-05,"040043",-27.03,153.47,"CAPE","Australia","Queensland",353,23.9529745042493,364,17.5651098901099,20.7590421971796
"41",1910,298.38639,0.92361,0.28083,3.7e-05,"039066",-25.62,151.62,"GAYNDAH","Australia","Queensland",349,27.343553008596,356,13.8491573033708,20.5963551559834
"42",1910,298.38639,0.92361,0.28083,3.7e-05,"048027",-31.48,145.83,"COBAR","Australia","New South Wales",362,24.4279005524862,364,12.8664835164835,18.6471920344849
"43",1910,298.38639,0.92361,0.28083,3.7e-05,"014015",-12.42,130.89,"DARWIN","Australia","Northern Territory",365,30.9016438356164,360,22.9172222222222,26.9094330289193
"44",1910,298.38639,0.92361,0.28083,3.7e-05,"036031",-23.44,144.28,"LONGREACH","Australia","Queensland",360,30.6175,361,13.2196675900277,21.9185837950139
"45",1910,298.38639,0.92361,0.28083,3.7e-05,"018192",-34.6,135.88,"PORT","Australia","South Australia",364,20.2695054945055,364,11.1653846153846,15.7174450549451
"46",1910,298.38639,0.92361,0.28083,3.7e-05,"056242",-29.78,151.11,"INVERELL","Australia","New South Wales",364,22.5453296703297,364,5.63241758241758,14.0888736263736
"47",1910,298.38639,0.92361,0.28083,3.7e-05,"003003",-17.95,122.24,"BROOME","Australia","Western Australia",364,31.9587912087912,364,21.4142857142857,26.6865384615385
"48",1910,298.38639,0.92361,0.28083,3.7e-05,"090015",-38.86,143.51,"CAPE","Australia","Victoria",363,16.9738292011019,363,10.5550964187328,13.7644628099174
"49",1910,298.38639,0.92361,0.28083,3.7e-05,"076031",-34.24,142.09,"MILDURA","Australia","Victoria",364,24.0368131868132,363,10.1845730027548,17.110693094784
"50",1910,298.38639,0.92361,0.28083,3.7e-05,"009617",-33.95,116.13,"BRIDGETOWN","Australia","Western Australia",364,20.7667582417582,364,7.76620879120879,14.2664835164835
"51",1910,298.38639,0.92361,0.28083,3.7e-05,"058012",-29.43,153.36,"YAMBA","Australia","New South Wales",347,23.385590778098,345,15.3907246376812,19.3881577078896
"52",1910,298.38639,0.92361,0.28083,3.7e-05,"063005",-33.43,149.56,"BATHURST","Australia","New South Wales",358,19.5195530726257,356,5.50421348314607,12.5118832778859
"53",1910,298.38639,0.92361,0.28083,3.7e-05,"091311",-41.55,147.22,"LAUNCESTON","Australia","Tasmania",363,16.8333333333333,364,5.65659340659341,11.2449633699634
"54",1911,298.6131,0.9269,0.28119,3.7e-05,"017126",-29.66,138.07,"MARREE","Australia","South Australia",365,27.4802739726027,365,12.4709589041096,19.9756164383562
"55",1911,298.6131,0.9269,0.28119,3.7e-05,"085072",-38.12,147.13,"EAST","Australia","Victoria",361,19.2653739612188,363,7.50798898071625,13.3866814709675
"56",1911,298.6131,0.9269,0.28119,3.7e-05,"010916",-33.69,117.61,"KATANNING","Australia","Western Australia",365,21.9356164383562,365,7.67561643835616,14.8056164383562
"57",1911,298.6131,0.9269,0.28119,3.7e-05,"009999",-34.94,117.82,"ALBANY","Australia","Western Australia",365,19.4975342465753,364,10.1480769230769,14.8228055848261
"58",1911,298.6131,0.9269,0.28119,3.7e-05,"015135",-19.64,134.18,"TENNANT","Australia","Northern Territory",364,31.1370879120879,365,19.8967123287671,25.5169001204275
"59",1911,298.6131,0.9269,0.28119,3.7e-05,"074258",-35.56,144.95,"DENILIQUIN","Australia","New South Wales",364,21.9818681318681,363,8.69201101928375,15.3369395755759
"60",1911,298.6131,0.9269,0.28119,3.7e-05,"092045",-40.99,148.35,"LARAPUNA","Australia","Tasmania",363,17.1429752066116,364,9.80906593406593,13.4760205703388
"61",1911,298.6131,0.9269,0.28119,3.7e-05,"009021",-31.93,115.98,"PERTH","Australia","Western Australia",365,23.0934246575342,365,10.0131506849315,16.5532876712329
"62",1911,298.6131,0.9269,0.28119,3.7e-05,"021133",-33.77,138.22,"RAYVILLE","Australia","South Australia",364,22.5489010989011,364,8.21895604395604,15.3839285714286
"63",1911,298.6131,0.9269,0.28119,3.7e-05,"009789",-33.83,121.89,"ESPERANCE","Australia","Western Australia",365,21.0104109589041,365,10.9369863013699,15.973698630137
"64",1911,298.6131,0.9269,0.28119,3.7e-05,"014015",-12.42,130.89,"DARWIN","Australia","Northern Territory",364,30.7673076923077,363,22.3283746556474,26.5478411739775
"65",1911,298.6131,0.9269,0.28119,3.7e-05,"039128",-24.91,152.32,"BUNDABERG","Australia","Queensland",364,26.9835164835165,352,14.3957386363636,20.6896275599401
"66",1911,298.6131,0.9269,0.28119,3.7e-05,"039066",-25.62,151.62,"GAYNDAH","Australia","Queensland",362,27.9596685082873,359,13.0459610027855,20.5028147555364
"67",1911,298.6131,0.9269,0.28119,3.7e-05,"030124",-18.3,143.53,"GEORGETOWN","Australia","Queensland",365,31.4350684931507,362,16.8665745856354,24.150821539393
"68",1911,298.6131,0.9269,0.28119,3.7e-05,"004106",-21.18,119.75,"MARBLE","Australia","Western Australia",365,34.9156164383562,365,19.2391780821918,27.077397260274
"69",1911,298.6131,0.9269,0.28119,3.7e-05,"012038",-30.78,121.45,"KALGOORLIE-BOULDER","Australia","Western Australia",365,24.7942465753425,365,11.0158904109589,17.9050684931507
"70",1911,298.6131,0.9269,0.28119,3.7e-05,"006011",-24.89,113.67,"CARNARVON","Australia","Western Australia",364,27.414010989011,365,15.0224657534247,21.2182383712178
"71",1911,298.6131,0.9269,0.28119,3.7e-05,"048027",-31.48,145.83,"COBAR","Australia","New South Wales",365,23.5764383561644,363,12.4765840220386,18.0265111891015
"72",1911,298.6131,0.9269,0.28119,3.7e-05,"086338",-37.83,144.98,"MELBOURNE","Australia","Victoria",365,18.7706849315068,365,10.1854794520548,14.4780821917808
"73",1911,298.6131,0.9269,0.28119,3.7e-05,"031011",-16.87,145.75,"CAIRNS","Australia","Queensland",365,28.7890410958904,364,18.8645604395604,23.8268007677254
"74",1911,298.6131,0.9269,0.28119,3.7e-05,"063005",-33.43,149.56,"BATHURST","Australia","New South Wales",342,18.3906432748538,354,5.39915254237288,11.8948979086133
"75",1911,298.6131,0.9269,0.28119,3.7e-05,"034084",-20.05,146.27,"CHARTERS","Australia","Queensland",357,29.8232492997199,299,14.78127090301,22.302260101365
"76",1911,298.6131,0.9269,0.28119,3.7e-05,"009617",-33.95,116.13,"BRIDGETOWN","Australia","Western Australia",363,21.2190082644628,362,6.9646408839779,14.0918245742204
"77",1911,298.6131,0.9269,0.28119,3.7e-05,"010917",-32.67,116.67,"WANDERING","Australia","Western Australia",365,22.1591780821918,365,6.84794520547945,14.5035616438356
"78",1911,298.6131,0.9269,0.28119,3.7e-05,"003003",-17.95,122.24,"BROOME","Australia","Western Australia",365,31.1621917808219,363,20.8914600550964,26.0268259179592
"79",1911,298.6131,0.9269,0.28119,3.7e-05,"008315",-28.8,114.7,"GERALDTON","Australia","Western Australia",365,24.6591780821918,365,11.8364383561644,18.2478082191781
"80",1911,298.6131,0.9269,0.28119,3.7e-05,"052088",-30.04,148.12,"WALGETT","Australia","New South Wales",364,26.5645604395604,361,8.65041551246537,17.6074879760129
"81",1911,298.6131,0.9269,0.28119,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",364,16.2412087912088,364,11.842032967033,14.0416208791209
"82",1911,298.6131,0.9269,0.28119,3.7e-05,"056242",-29.78,151.11,"INVERELL","Australia","New South Wales",334,22.4305389221557,334,5.52634730538922,13.9784431137725
"83",1911,298.6131,0.9269,0.28119,3.7e-05,"015590",-23.8,133.89,"ALICE","Australia","Northern Territory",365,27.692602739726,364,11.8917582417582,19.7921804907421
"84",1911,298.6131,0.9269,0.28119,3.7e-05,"026021",-37.75,140.77,"MOUNT","Australia","South Australia",362,19.1817679558011,360,7.79138888888889,13.486578422345
"85",1911,298.6131,0.9269,0.28119,3.7e-05,"048245",-30.04,145.95,"BOURKE","Australia","New South Wales",364,26.7269230769231,363,11.6258953168044,19.1764091968637
"86",1911,298.6131,0.9269,0.28119,3.7e-05,"029077",-17.75,139.54,"BURKETOWN","Australia","Queensland",365,31.8652054794521,365,18.326301369863,25.0957534246575
"87",1911,298.6131,0.9269,0.28119,3.7e-05,"080023",-35.72,143.92,"KERANG","Australia","Victoria",354,22.0937853107345,359,8.31699164345404,15.2053884770943
"88",1911,298.6131,0.9269,0.28119,3.7e-05,"018192",-34.6,135.88,"PORT","Australia","South Australia",365,20.3676712328767,361,11.1210526315789,15.7443619322278
"89",1911,298.6131,0.9269,0.28119,3.7e-05,"038003",-22.91,139.9,"BOULIA","Australia","Queensland",362,30.0773480662983,365,15.8660273972603,22.9716877317793
"90",1911,298.6131,0.9269,0.28119,3.7e-05,"060139",-31.43,152.87,"PORT","Australia","New South Wales",365,22.3832876712329,365,10.5424657534247,16.4628767123288
"91",1911,298.6131,0.9269,0.28119,3.7e-05,"084016",-37.57,149.92,"GABO","Australia","Victoria",363,18.2903581267218,362,11.0436464088398,14.6670022677808
"92",1911,298.6131,0.9269,0.28119,3.7e-05,"036031",-23.44,144.28,"LONGREACH","Australia","Queensland",363,31.3592286501377,333,14.6264264264264,22.9928275382821
"93",1911,298.6131,0.9269,0.28119,3.7e-05,"026026",-37.16,139.76,"ROBE","Australia","South Australia",360,17.9633333333333,365,10.9402739726027,14.451803652968
"94",1911,298.6131,0.9269,0.28119,3.7e-05,"033119",-21.12,149.22,"MACKAY","Australia","Queensland",361,25.7232686980609,362,17.2022099447514,21.4627393214062
"95",1911,298.6131,0.9269,0.28119,3.7e-05,"028004",-16,144.08,"PALMERVILLE","Australia","Queensland",343,32.8096209912536,319,16.3614420062696,24.5855314987616
"96",1911,298.6131,0.9269,0.28119,3.7e-05,"046126",-29.44,142.06,"TIBOOBURRA","Australia","New South Wales",365,26.2279452054795,365,13.5953424657534,19.9116438356164
"97",1911,298.6131,0.9269,0.28119,3.7e-05,"090015",-38.86,143.51,"CAPE","Australia","Victoria",363,16.2137741046832,365,10.507397260274,13.3605856824786
"98",1911,298.6131,0.9269,0.28119,3.7e-05,"078015",-36.31,141.65,"NHILL","Australia","Victoria",362,20.8008287292818,365,7.8772602739726,14.3390445016272
"99",1911,298.6131,0.9269,0.28119,3.7e-05,"091293",-41.05,146.79,"LOW","Australia","Tasmania",365,15.9706849315068,365,9.95698630136986,12.9638356164384
"100",1911,298.6131,0.9269,0.28119,3.7e-05,"009518",-34.37,115.14,"CAPE","Australia","Western Australia",360,19.4491666666667,365,13.6819178082192,16.5655422374429
"101",1911,298.6131,0.9269,0.28119,3.7e-05,"044021",-26.41,146.26,"CHARLEVILLE","Australia","Queensland",331,27.4519637462236,346,10.3150289017341,18.8834963239788
"102",1911,298.6131,0.9269,0.28119,3.7e-05,"072150",-35.16,147.46,"WAGGA","Australia","New South Wales",343,21.4046647230321,357,7.06162464985994,14.233144686446
"103",1911,298.6131,0.9269,0.28119,3.7e-05,"058012",-29.43,153.36,"YAMBA","Australia","New South Wales",359,23.3242339832869,348,14.7491379310345,19.0366859571607
"104",1911,298.6131,0.9269,0.28119,3.7e-05,"029063",-17.69,141.07,"NORMANTON","Australia","Queensland",364,31.9175824175824,360,20.8152777777778,26.3664300976801
"105",1911,298.6131,0.9269,0.28119,3.7e-05,"091311",-41.55,147.22,"LAUNCESTON","Australia","Tasmania",364,16.5799450549451,365,5.20054794520548,10.8902465000753
"106",1911,298.6131,0.9269,0.28119,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",365,20.0172602739726,365,10.613698630137,15.3154794520548
"107",1911,298.6131,0.9269,0.28119,3.7e-05,"076031",-34.24,142.09,"MILDURA","Australia","Victoria",364,23.7401098901099,349,9.29885386819484,16.5194818791524
"108",1911,298.6131,0.9269,0.28119,3.7e-05,"040043",-27.03,153.47,"CAPE","Australia","Queensland",363,23.6250688705234,365,17.2843835616438,20.4547262160836
"109",1911,298.6131,0.9269,0.28119,3.7e-05,"042112",-26.66,150.18,"MILES","Australia","Queensland",301,26.8541528239203,304,8.85592105263158,17.8550369382759
"110",1912,298.89074,0.92926,0.28156,3.7e-05,"009518",-34.37,115.14,"CAPE","Australia","Western Australia",365,19.4279452054795,366,13.9409836065574,16.6844644060184
