"","year","CO2","CH4","NO2","SGG","location","latitude","longitude","location_name","country","state","count","mean","min","max"
"43",1876,288.71966,0.83034,0.27492,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",366,0.621311475409836,0,42.9
"44",1876,288.71966,0.83034,0.27492,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",306,1.55718954248366,0,38.1
"45",1876,288.71966,0.83034,0.27492,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",366,2.99043715846995,0,61
"46",1876,288.71966,0.83034,0.27492,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",366,2.71475409836066,0,81
"47",1876,288.71966,0.83034,0.27492,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",366,0.948907103825137,0,57.2
"48",1876,288.71966,0.83034,0.27492,3.7e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",365,2.31095890410959,0,56.9
"49",1877,288.7181,0.8319,0.27518,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",365,2.3613698630137,0,156.5
"50",1877,288.7181,0.8319,0.27518,3.7e-05,"086131",-37.56,145.13,"YAN","Australia","Victoria",365,1.39013698630137,0,22.6
"51",1877,288.7181,0.8319,0.27518,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,0.597534246575342,0,17
"52",1877,288.7181,0.8319,0.27518,3.7e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",365,1.84027397260274,0,33.5
"53",1877,288.7181,0.8319,0.27518,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",365,2.10739726027397,0,74.2
"54",1877,288.7181,0.8319,0.27518,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",365,2.85452054794521,0,56.1
"55",1877,288.7181,0.8319,0.27518,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,0.87945205479452,0,33
"56",1877,288.7181,0.8319,0.27518,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",365,1.13315068493151,0,58.4
"57",1878,288.73662,0.83338,0.27544,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",365,1.39287671232877,0,33.5
"58",1878,288.73662,0.83338,0.27544,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",365,3.10575342465753,0,64.3
"59",1878,288.73662,0.83338,0.27544,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",365,2.63287671232877,0,129.3
"60",1878,288.73662,0.83338,0.27544,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,0.654794520547945,0,43.7
"61",1878,288.73662,0.83338,0.27544,3.7e-05,"086131",-37.56,145.13,"YAN","Australia","Victoria",365,1.8627397260274,0,83.8
"62",1878,288.73662,0.83338,0.27544,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.9572602739726,0,153.4
"63",1878,288.73662,0.83338,0.27544,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",335,2.74208955223881,0,125
"64",1878,288.73662,0.83338,0.27544,3.7e-05,"058012",-29.43,153.36,"YAMBA","Australia","New South Wales",365,3.12602739726027,0,62.7
"65",1879,288.80508,0.83492,0.27569,3.7e-05,"058012",-29.43,153.36,"YAMBA","Australia","New South Wales",365,4.62109589041096,0,107.7
"66",1879,288.80508,0.83492,0.27569,3.7e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",365,3.61616438356164,0,76.5
"67",1879,288.80508,0.83492,0.27569,3.7e-05,"054004",-29.87,150.57,"BINGARA","Australia","New South Wales",365,3.38794520547945,0,80.8
"68",1879,288.80508,0.83492,0.27569,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",365,2.54219178082192,0,45.7
"69",1879,288.80508,0.83492,0.27569,3.7e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,0.898630136986301,0,31.8
"70",1879,288.80508,0.83492,0.27569,3.7e-05,"086131",-37.56,145.13,"YAN","Australia","Victoria",365,1.41205479452055,0,24.4
"71",1879,288.80508,0.83492,0.27569,3.7e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",306,2.37581699346405,0,50.8
"72",1879,288.80508,0.83492,0.27569,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",365,2.75534246575342,0,41.7
"73",1879,288.80508,0.83492,0.27569,3.7e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",365,4.43917808219178,0,151.4
"74",1879,288.80508,0.83492,0.27569,3.7e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,0.993698630136986,0,31.8
"75",1880,288.9234,0.8366,0.27593,3.7e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",366,1.33114754098361,0,68.6
"76",1880,288.9234,0.8366,0.27593,3.7e-05,"058063",-28.88,153.05,"CASINO","Australia","New South Wales",366,2.88852459016393,0,109.2
"77",1880,288.9234,0.8366,0.27593,3.7e-05,"075050",-33.61,146.32,"NARADHAN","Australia","New South Wales",366,1.23005464480874,0,97.5
